,PublicRemarks,Bedrooms,Building_Type,Address,LeaseRent,Property_Type,OwnershipType,ParkingSpaceTotal
0,"Excellent Location!Ready To Move In With Other Two People. This Is Only One Room Available To Be Shared With Really Decent And Quite People To Be Shared Common Areas.No Smokers, No Pets Please. We Believe And Trust To Create A Mutual Respectful Place With No Partying And No Air B&B. Internet Included.**** EXTRAS **** Washer, Dryer, New Fridge, New Stove. (30463401)",1,Other,"#BSMNT -12 FLERIMAC RD|Toronto, Ontario M1E4A9",$700/Monthly,Single Family,,
1,"Roommate Rents Out Master Bedroom Condo Unit.  Shared Kitchen/ Washroom And Living Area With Roommate.  Furnished Room With A Private Master Bedroom.**** EXTRAS **** Roommate Looks For A Roommate To Share 2B/R Unit.  Aaa Tenant Only.  Credit Report With Scores, Pay Stubs, Employee Letter, Rental Application Form. (30151981)",2,Apartment,"4101 SHEPPARD AVE E|Toronto, Ontario M1S3H3",$800/Monthly,Single Family,Condominium/Strata,
2,"2 Individual Furnished Bdrms With Private Entrance Available For Rent Located In A Quiet Residential Neighborhood Close To Bus Route, Shopping, 401 And Other Amenities.  Each Bdrm Has Own Separate Entrance To Outside. Bathroom And Kitchen Shared With Other Tenant(S).  All Utilities Included, Even Wifi(No Cable), Parking For Only 1 Vehicle Is Extra At $50/Mth, First Come First Serve. Students And Foreigners Are Welcome.  As Per Landlord, Laundry Is Available On The Premises On A Bi-Weekly Schedule.  No Pets!!!**** EXTRAS **** Fridge, Stove, Microwave, Bed And Shelving Unit Included. (30153804)",1,House,"107 BRAYMORE BLVD|Toronto, Ontario M1B2N6",$900/Monthly,Single Family,Freehold,2
3,"A Large Den For A Single Lady, Private Washroom, Shared Kitchen With Another Girl (Owner).  Convenience At Its Finest. Downtown Condo Located Just Minutes To Mcmaster University Campus, Shopping And Restaurants, Go Transit And Major Office Buildings. This Building Offers A Spacious Party Room For Gatherings And Meetings, Fully Equipped Fitness Centre, Rooftop Pool, Sun Deck And Virtual Concierge! Unit Is Bright And Spacious, A Must See.**** EXTRAS **** Tenant's Agent/Tenant To Confirm Measurements. Attach Sch B And 801 W/ Offers. Deposit Must Be Certified Chq. Utilities & Internet Included. (30448095)",1 + 1,Apartment,"#906 -150 MAIN ST W|Hamilton, Ontario L8P1H8",$900/Monthly,Single Family,Condominium/Strata,
4,"Fully Furnished Room Available For Lease In A Sharing Basement Apartment Of A Detached House. Very Clean With Separate Side Entrance. All Utilities ( Water, Hydro, Gas, Internet, And Cable Tv Included In The Rent Price). Living Kitchen, Washroom, And Washer/Dryer Ensuite In The Basement. All Wood Flooring No Carpet.**** EXTRAS **** All Furniture And Other Items In The Basement Available To Use. (30302518)",1,House,"#(ROOM) -1036 MCCUAIG DR|Milton, Ontario L9T6S3",$900/Monthly,Single Family,Freehold,
5,"1 Family Studio With 2 Bedroom Available In Basement For Rent From Aug 1st, 2022. Looking For A Working Professionals Family Or Couple. Ttc Bus Stop 5 Minutes Walk, Kennedy Subway Station 10Mins By Walk. Close To All Amenities Laundry In Unit. All Appliances Included. Newly Renovated. Nice And Quiet Neighborhood. The Family Studio Is 2 Room Sized. Also Open To Renting Out Full Basement. Utilities Extra And Shared With Roommates. Family Studio - 1200$ Middle Room - 900$**** EXTRAS **** Washer, Dryer, Fridge, Stove.  Parking Is Available. (30347868)",1,House,"165 TREVERTON DR|Toronto, Ontario M1K3T1",$900/Monthly,Single Family,Freehold,
6,"Location, Location, Spacious Suite Bedroom Basement Apartment Furnished With Separate Entrance/Share Laundry.Step To Young St., Ttc And Finch Subway Station, Close To Centerpoint Mall And Plaza. Close To All Amenities,Include All Utility!**** EXTRAS **** Furniture, Stove, Fridge, Share Laundry On The Floor. No Pets,No Smoker. Tenant Insurance Is Required. (30373879)",0,House,"87 STEELES AVE E|Toronto, Ontario M2M3Y4",$900/Monthly,Single Family,Freehold,
7,"This Is A Room Rental Only! Shared Accommodations In A 2 Bedroom Corner Unit On A High Floor. One Of The Largest Units In The Building. Access To Shopping, Transit, Health Care, Community Centre And Library. Includes All Utilities, Underground Parking Spot Is Included  Well Maintained Building Wired With Fiber Optic Internet. Eglinton Ave East Lrt Extension Coming Soon.**** EXTRAS **** Fridge, Stove, B/I Dishwasher, Washer & Dryer, All Elfs. (30443971)",1,Apartment,"#1111 -99 BLACKWELL AVE|Toronto, Ontario M1B3R5",$900/Monthly,Single Family,Condominium/Strata,1
8,"One Room @ Main Floor, Great Location... Minutes To Excellent School: Ay Jackson High School,Go 2+1 Bedroom Lower Level Unit In Very Desirable Family Friendly Neighbourhood . Bus To Subway, North York General, Shopping Mall, 401 & 404, Walk To A.Y.Jackson, Zion Hts, (30379050)",1,House,"55 JAMES GRAY (ROOM) DR|Toronto, Ontario M2H1N8",$900/Monthly,Single Family,Freehold,1
9,"Basement apartment with 1 bedroom, a 3 piece bathroom with a separate rear entrance (better than a bachelor unit1).  Includes fridge and stove.  Rent includes all utilities; tenant is responsible for internet, phone and tv hook-up.  Close to shopping, laundromat, public transit and other amenities.  Perfect for an individual looking for privacy! (28828882)",0 + 1,Apartment,"1-Bsmt 75 WILLIAM Street|Hamilton, Ontario L8L5T6",$950/Monthly,Single Family,Freehold,0
