"12 FLERIMAC RD|TORONTO, ONTARIO M1E4A9",0
"4101 SHEPPARD AVE E|TORONTO, ONTARIO M1S3H3",1
"107 BRAYMORE BLVD|TORONTO, ONTARIO M1B2N6",2
"906 150 MAIN ST W|HAMILTON, ONTARIO L8P1H8",3
"1036 MCCUAIG DR|MILTON, ONTARIO L9T6S3",4
"165 TREVERTON DR|TORONTO, ONTARIO M1K3T1",5
"87 STEELES AVE E|TORONTO, ONTARIO M2M3Y4",6
"1111 99 BLACKWELL AVE|TORONTO, ONTARIO M1B3R5",7
"55 JAMES GRAY  DR|TORONTO, ONTARIO M2H1N8",8
"1 75 WILLIAM STREET|HAMILTON, ONTARIO L8L5T6",9
"B1 1 MUIRBANK BLVD|TORONTO, ONTARIO M1C4R8",10
"A 138 ANGUS DR|TORONTO, ONTARIO M2J2X1",11
"4 75 EVANS AVE|TORONTO, ONTARIO M8Z1H7",12
"5 ONSLOW CRT|OAKVILLE, ONTARIO L6H1J1",13
"MBR 2031 WESTREE DR|OAKVILLE, ONTARIO L6M3W3",14
"83 TEMPERANCE ST|AURORA, ONTARIO L4G2R1",15
"3609DEN 181 DUNDAS ST E|TORONTO, ONTARIO M5A0N5",16
"17 COAST AVE|VAUGHAN, ONTARIO L6A3Y1",17
"B2 13 HERZBERG GDNS|TORONTO, ONTARIO M3J3P5",18
"369 MARGUERETTA ST|TORONTO, ONTARIO M6H3S6",19
"115 OASIS BLVD|TORONTO, ONTARIO M1X0B4",20
"203 206 CARLTON ST|TORONTO, ONTARIO M5A2L1",21
"6 347 JANE ST|TORONTO, ONTARIO M6S3Z3",22
"A 73 TWENTY FOURTH ST|TORONTO, ONTARIO M8V3N7",23
"206 CARLTON STREET UNIT 104|TORONTO, ONTARIO M5A2L1",24
"13 CULLODEN CIRC|TORONTO, ONTARIO M1C0E9",25
"192 BOGERT AVE AVE|TORONTO, ONTARIO M2N1K9",26
"3504 28 WELLESLEY ST E|TORONTO, ONTARIO M4Y0C4",27
"34 FORBES CRES|MARKHAM, ONTARIO L3R6S5",28
"22 MILL ST|MARKHAM, ONTARIO L3P1K9",29
"122 GOULDING AVE|TORONTO, ONTARIO M2M1L6",30
"64 QUEENS DR|TORONTO, ONTARIO M9N2H6",31
"19 CANDLEBROOK CRES|TORONTO, ONTARIO M1W4B3",32
"314 PALMER AVE|RICHMOND HILL, ONTARIO L4C1P3",33
"749 SWAN  PL|PICKERING, ONTARIO L1X2V8",34
"110 WHITE BEACH CRES|VAUGHAN, ONTARIO L6A0R2",35
"80 NORTH EDGELY AVE|TORONTO, ONTARIO M1K1T7",36
"16 TRINNELL BLVD|TORONTO, ONTARIO M1L1S5",37
"1874 FAIRPORT RD|PICKERING, ONTARIO L1V1T4",38
"59 BARKER AVE|TORONTO, ONTARIO M4C2N5",39
"747 GIFFORD ST|OSHAWA, ONTARIO L1H4W1",40
"2047 SHAY DR|PICKERING, ONTARIO L1X1Y1",41
"3 193 WENTWORTH ST N|HAMILTON, ONTARIO L8L5V6",42
"2 207 CABOT ST|OSHAWA, ONTARIO L1J5S2",43
"24 JONDAN CRES|MARKHAM, ONTARIO L3T3Z5",44
"161 BOB YUILL DR|TORONTO, ONTARIO M9M0B1",45
"45 BRIARSCROSS  BLVD|TORONTO, ONTARIO M1S3K6",46
"384 AYLESWORTH AVE|TORONTO, ONTARIO M1N2K6",47
"641 TENNYSON AVE|OSHAWA, ONTARIO L1H3K3",48
"3225 BRUZAN CRES|MISSISSAUGA, ONTARIO L5N8E7",49
"1 EDWARD STREET UNIT B|HAMILTON, ONTARIO L8L2V2",50
"11 MCDONALD DR|AURORA, ONTARIO L4G2T4",51
"83 LONGVIEW DR|BRADFORD WEST GWILLIMBURY, ONTARIO L3Z2Z2",52
"72 ADAMS ST|BRADFORD WEST GWILLIMBURY, ONTARIO L3Z3E2",53
"2 WEBSTER DR|AURORA, ONTARIO L4G2A5",54
"155 MORTIMER AVE|TORONTO, ONTARIO M4J2C4",55
"7360 MANION RD|MISSISSAUGA, ONTARIO L4T2K6",56
"449 CENTRE ST|RICHMOND HILL, ONTARIO L4C1B8",57
"106 BONHAM BLVD|MISSISSAUGA, ONTARIO L5M1C7",58
"98 DUKE STREET|HAMILTON, ONTARIO L8P1X5",59
"17 COPLAND TR|AURORA, ONTARIO L4G4S6",60
"1951 DUFFERIN ST|TORONTO, ONTARIO M6E3P8",61
"B 58 EASTLAWN ST|OSHAWA, ONTARIO L1H7J8",62
"105 325 SAMMON AVE|TORONTO, ONTARIO M4J2A1",63
"44 MEDLEY CRES|TORONTO, ONTARIO M1J1Y3",64
"844 DANFORTH AVE|TORONTO, ONTARIO M4J1L7",65
"L5M 6W3 3020 HAWKTAIL CRES|MISSISSAUGA, ONTARIO L5M6W3",66
"C 73 GORT AVE|TORONTO, ONTARIO M8W3Y9",67
"6431 SEAVER RD|MISSISSAUGA, ONTARIO L5V2H9",68
"411 PALING AVENUE|HAMILTON, ONTARIO L8H5K3",69
"411 PALING AVE|HAMILTON, ONTARIO L8H5K3",70
"50 WILCLAY AVE|MARKHAM, ONTARIO L3S1S4",71
"95 BUNCHBERRY WAY|BRAMPTON, ONTARIO L6R2E8",72
"1099 DUNBARTON RD|PICKERING, ONTARIO L1V4E4",73
"01 180 CARLTON ST|TORONTO, ONTARIO M5A2K6",74
"951 MINK ST|PICKERING, ONTARIO L1W2G6",75
"685 PERRY CRES|OSHAWA, ONTARIO L1J2E4",76
"3 CHAPPARAL  DR|BRAMPTON, ONTARIO L6R3C5",394
"4 WICKLOW RD|BRAMPTON, ONTARIO L6X0J7",78
"8 ROSCOE RD|TORONTO, ONTARIO M1B2K1",79
"33 FLURRY CIRC|BRAMPTON, ONTARIO L6X0S7",80
"48 MAHONEY B1 AVE|TORONTO, ONTARIO M6M2H4",81
"16103 FOXCHASE AVE|VAUGHAN, ONTARIO L4L9K7",82
"327 PHILLIP MURRAY AVE|OSHAWA, ONTARIO L1J1H1",83
"17 RUSHINGBROOK DR|RICHMOND HILL, ONTARIO L4S1W6",84
"B 333 GLENHOLME AVE|TORONTO, ONTARIO M6E3E4",85
"240 ETNA AVE|OSHAWA, ONTARIO L1H3B9",86
"B 720 COXWELL AVE|TORONTO, ONTARIO M4C3C2",87
"140 DAVISVILLE AVE|TORONTO, ONTARIO M4S1E8",88
"A  24 SYNDICATE AVE|TORONTO, ONTARIO M6N4M5",89
"585 DEVON AVE|OSHAWA, ONTARIO L1H1R9",90
"83 DUNMAIL DR|TORONTO, ONTARIO M1V1V8",91
"246 NAIRN AVE|TORONTO, ONTARIO M6E4H4",92
"26 SCOTSWOOD RD|TORONTO, ONTARIO M1R3N2",93
"80 MOUNT FUJI CRES|BRAMPTON, ONTARIO L6R2L5",94
