,bathrooms,public_remarks,room type,areacode,price,parking_space,property_type,bedroom,spareroom,city,province,address
0,1,"Solarium Room For Rent* Solarium Has A Window And Come With Door. It Can Be Used A Bedroom.  Looking For A Roommate To Share Accommodations In A Unit In The Centre Of Vaughan. Share Living Space And Kitchen,Washroom,Locker With Tenants. 24 Hours Concierge, Amazing Facilities (Swimming Pool, Gym, Etc). Walking Distance To Vaughan Metropolitan Center Subway. Hydro,Heat,Internet Are Included.**** EXTRAS **** S/S Fridge, Stove, Washer, Dryer, Dishwasher & Microwave,Sofa Bed. (29102115)",bedroom,905,700,0.0,Single Family,1,0,Vaughan, Ontario L4K0H8,#1109 -2910 HIGHWAY 7 RD
1,1,"Fabulous Upper Floor 1 Bedroom Is Available For Rent In A 3 Bedroom Unit. Shared Kitchen, Laundry & Washroom. Fantastic Location Downtown Whitby! Steps To Transit, Mall, Restaurants, Parks. Minutes To Hwy 401 & Go Train.**** EXTRAS **** Fridge, Stove, Range Hood, Washer & Dryer. 24 Hrs Notice For All Showings. Utility Included. (29586688)",bedroom,905,750,0.0,Single Family,1,0,Whitby, Ontario L1N4J9,##3 -105 BROCK ST S
2,1,"Location! Location! One Spacious Bedroom Available, Partly Furnished In Shared Accommodation In 2 Bedroom Basement. Separate Entrance In Maedowvale Village. Shared Open Concept  Kitchen, Living And Dining Room. Shared Laundry On Main Floor. Located Near Grocery Stores, Heartland.**** EXTRAS **** Available: Fridge, Stove, Microwave. Rental Amount Includes Utilities (Heat, Water, Hydro Only) Please Follow Covid Protocols. (29498717)",bedroom,416,750,4.0,Single Family,1,0,Mississauga, Ontario L5W1V3,#BASEMEN -373 ARROWSMITH  DR S
3,1,"Located Close To Go Station At Weston And Lawrence. Go Train, Ttc, Cab, Library School, Mall Shops Easy Access. Shared Kitchen, Washroom And Laundry**** EXTRAS **** Please Provide The Standard Rental Application Lease Agreemnt, Full Credit Report With Scores, Twelve Post Dated Check, Job Letter, Two Most Recent Pay Stubs And References (29561011)",upper-unit,905,750,1.0,Single Family,1,0,Toronto, Ontario M9N2B2,#UPPER -31B SOUTH STATION ST
4,1,"Room In The Basement - Better Then Bachelor Very Big And Bright, Sharing Kitchen, Washroom And Laundry Large Back Yard . One Of The Quite Neighborhood In The Area. Very Close To School And Shopping.**** EXTRAS **** Stove Top And Fridge (29553250)",basement,416,750,0.0,Single Family,1,0,Toronto, Ontario M3A2H4,36 BALTRAY CRES
5,1,"Steps To Promenade Mall, Public Transit, Library, Schools! 1 Bedrooms On 2nd Floor.**** EXTRAS **** Shared Fridge, Stove, Range Hood, Washer And Dryer. (29370807)",bedroom,905,750,0.0,Single Family,1,0,Vaughan, Ontario L4J7X5,#2ND FL -27 GLENBURY DR
6,1,"Welcome To This Luxury, The Joy Condo. 1 Bedroom Is Available For Rent In A 2 Bedroom Unit. Has 2 Full Washroom. The Toilet & Sink Available For The Tenant & Is Not Shared. Laminate Floor Throughout. Close To The Mall, Supermarket, Bank, Library & Medical Building. Utility Will Be Split Equally. Welcome Students, International Students, Etc. Looking For Female Tenant Only. Amenities Are Available Gym & Indoor Pool To Use. Concierge On Site.**** EXTRAS **** Ss Appliances: Fridge, And Stove. Washer & Dryer Available In The Suite. All Existing Electrical Light Fixture. Parking Is Available Not Included In The Rent. Cost Of Parking Is $90. Tenant Is To Measure The Room For Accurate Sq Ft. (29488973)",bedroom,905,760,0.0,Single Family,1,0,Toronto, Ontario M1T0A5,#307 -195 BONIS AVE
7,2,Fully Furnished 1 Bedroom For Rent. Well Maintained And Quiet Environment. Spacious Living & Family Room With Fireplace. Perfect For Student And Working Professional.**** EXTRAS **** Includes Wifi And Parking. No Pets And No Smoking. Shared Facilities With Family Of 3. (29442786),bedroom,416,800,1.0,Single Family,1,0,Markham, Ontario L6B0J3,#(1BR) -11 SUMMERSIDE ST
8,1,"Amazing Opportunity To Live In The Heart Of The Junction & To Have Your Own Space For The $$$ Of A Shared Br! This Unit Features A Separate Entrance, Large Br W/ Built In Closet, Modern Washroom Fixtures, Updated Kitchen W/ Plenty Of Storage. Located @Bloor/ Dufferin. W/In Walking Distance To Ttc, Subway, Restaurants, Shops, Malls & Many More!**** EXTRAS **** Ss Appliances, Built In Closet, Modern Washroom Fixtures (29667041)",basement,416,800,0.0,Single Family,1,0,Toronto, Ontario M6H3P1,#LOWER -677 BROCK AVE
9,1,"One Bedroom For Rent. Fully Furnished. Only For 1 Person; Rent Includes All Utilities. Use Of Internet Tenant To Share All Living Amenities (Incl. Washer/Dryer) With The Landlord. One Parking Slot Available.**** EXTRAS **** Share Use Of Washroom, Living Room, Kitchen & Appliances, Washer & Dryer. (29564360)",bedroom,905,800,1.0,Single Family,1,0,Toronto, Ontario M9V4R5,#(ROOM) -9 WOOLENSCOTE  CIRC
